date,content,username,like_count,retweet_count
2023-02-25 09:58:03+00:00,"🚩 RED FLAG 🚩

Valtteri Bottas has stopped out on track 😫

#F1 #F1Testing https://t.co/AYITPsjJks",F1,6365,276
2023-02-25 09:36:34+00:00,"Oscar Piastri gets some solid advice from fellow Aussie and mentor, Mark Webber! 🇦🇺👊

#F1 #F1Testing @AussieGrit https://t.co/yTIkGA9jVz",F1,4079,156
2023-02-25 09:18:58+00:00,"With just under two hours of the morning testing session remaining...👀

@Charles_Leclerc is in the top spot with a lap time of 1:31.024 ⏱️

#F1 #F1Testing @ScuderiaFerrari https://t.co/ZXaQ1tGu16",F1,5882,350
2023-02-25 08:39:38+00:00,"Our final day of testing is under way! 🙌

A timely reminder, that it's only ONE WEEK until lights out for real 🤯

#F1 #F1Testing https://t.co/fJ24H4JBtm",F1,3994,242
2023-02-25 07:45:33+00:00,"Oscar Piastri has a BIG spinning moment out on track! 😳

The Australian driver recovers quickly to continue on 

#F1 #F1Testing https://t.co/KPU7PB4Fvo",F1,8429,282
2023-02-25 07:42:21+00:00,"Hulk *literally* SMASHES the fastest time on the board thus far 👊

It's P1 for the @HaasF1Team driver 🔥

Three and a half hours remain in the morning session!

#F1 #F1Testing https://t.co/7AOxzNmD9u",F1,3804,133
2023-02-25 07:13:07+00:00,"🟢 GREEN LIGHT 🟢

The morning session has resumed!

Hulk's already working hard 👊

#F1 #F1Testing https://t.co/36bu3BrSMK",F1,2313,125
2023-02-25 07:09:46+00:00,"🚩 RED FLAG 🚩

The session is briefly red-flagged to retrieve a sensor strip that has fallen off Sergio Perez's car! 

#F1 #F1Testing https://t.co/amDDIrAdDu",F1,6866,264
2023-02-25 07:01:23+00:00,"Our final day of testing is a GO! 🚦

Felipe Drugovich leads the pack to put some laps in 💪

Follow along 👉 https://t.co/wrm1L2QzWT

#F1 #F1Testing https://t.co/kr56EC0EhD",F1,2934,169
2023-02-25 06:41:30+00:00,"It's our final day of the Pre-Season Test in Bahrain! 🤯 

Find out who will be behind the wheel 👇

#F1 #F1Testing 

https://t.co/HjOBr7BriN",F1,1533,82
2023-02-24 22:30:00+00:00,"Day 2 of the Pre-Season Test in the bag 👊

One more day to go! 

#F1 #F1Testing https://t.co/QSe6ADkEQ9",F1,4264,290
2023-02-24 21:39:00+00:00,"Good guy @GeorgeRussell63 🥰

#F1 #F1Testing https://t.co/JsoNpyEEIY",F1,6770,351
2023-02-24 20:45:00+00:00,"A new era, but the same old banter 😆

Drive To Survive Season 5, now airing on @netflix 🍿

#F1 #DriveToSurvive5 https://t.co/upXnCLd3q1",F1,7030,516
2023-02-24 19:35:00+00:00,"Just waiting for a mate 😅

@LandoNorris watches on as @Max33Verstappen zooms past 👀

#F1 #F1Testing https://t.co/hTOUtHal7U",F1,5669,299
2023-02-24 18:46:00+00:00,"Max making moves 🕺

Catch up on all the highlights from our second day of testing! 👇

#F1 #F1Testing",F1,1909,187
2023-02-24 18:12:00+00:00,"Taking it to the skies..and the streets! 🛩️🚦

@qatarairways and Formula 1 enter into a multi year Partnership 🤝

And there were some special donuts on Lusail Boulevard to celebrate...🍩

#F1 https://t.co/RAUWd8D2IJ",F1,1436,122
2023-02-24 18:00:00+00:00,"2022 vs. 2023 🔥

A closer look at the changes made for Aston Martin, Ferrari, McLaren and Red Bull Racing 🔎

#F1 #F1Testing https://t.co/vF6rdVoAs8",F1,3450,295
2023-02-24 17:45:00+00:00,"Simply mesmerising 🤩

@alo_oficial takes his @AstonMartinF1 car for a lap at sunset hour ✨

#F1 #F1Testing https://t.co/MJsa6oBhv2",F1,5221,395
2023-02-24 17:27:00+00:00,"Initial thoughts on the 2023 competitive order have been offered up 👀

Find out who the Team Principal's are most impressed by thus far 👇

#F1 #F1Testing 

https://t.co/PmO456PqMl",F1,1175,80
2023-02-24 17:11:00+00:00,"George Russell's testing session came to an early end due to this stoppage 😫

#F1 #F1Testing https://t.co/befVyImmug",F1,3614,225
2023-02-24 17:03:00+00:00,"A mighty effort by AlphaTauri and Williams on Day 2 of testing 💪

#F1 #F1Testing https://t.co/LvFqWkZixU",F1,5348,384
2023-02-24 16:58:28+00:00,"Zhou Guanyu takes the top spot in an eventful Day 2 of the Pre-Season Test in Bahrain 👏

#F1 #F1Testing 

https://t.co/EGq24rbXzp",F1,1966,144
